Session_ID,Session_Date,Session_Time,Station_ID,Station_Location,Vehicle_Type,Connector_Type,Battery_Start_Percent,Battery_End_Percent,Charging_Duration_Min,Energy_Consumed_kWh,Charging_Status,Failure_Reason,Station_Status,Payment_Status,Charging_Cost
SES-10001,2025-01-01,08:59:09,STN-VSKP-01,Visakhapatnam,Crossover,CCS,27,30,40,1.20,Failed,Charging Interrupted,Offline,Paid,20.77
SES-10002,2025-01-01,08:48:35,STN-PUN-01,Pune,Sedan,Type 2,65,100,117,18.53,Completed,None,Available,Paid,315.88
SES-10003,2025-01-01,18:31:35,STN-DEL-02,Delhi,SUV,CCS,85,87,88,0.80,Failed,Charging Interrupted,Maintenance,Failed,0.00
SES-10004,2025-01-01,08:21:03,STN-PUN-01,Pune,Sedan,CCS,54,62,12,4.49,Completed,None,Available,Paid,72.01
SES-10005,2025-01-01,07:37:23,STN-KOL-01,Kolkata,Sedan,Type 2,50,100,119,29.89,Completed,None,Available,Paid,471.35
SES-10006,2025-01-01,07:22:21,STN-MUM-02,Mumbai,Hatchback,Type 2,47,89,56,16.22,Completed,None,Available,Paid,258.96
SES-10007,2025-01-01,14:54:10,STN-PUN-01,Pune,Sedan,CCS,14,100,120,44.22,Completed,None,Charging,Paid,710.49
SES-10008,2025-01-01,16:31:04,STN-VSKP-01,Visakhapatnam,Hatchback,Type 2,24,42,24,7.26,Completed,None,Charging,Paid,117.10
SES-10009,2025-01-01,14:09:39,STN-VSKP-01,Visakhapatnam,SUV,CCS,20,21,60,0.40,Failed,Connector Error,Maintenance,Failed,0.00
SES-10010,2025-01-01,09:23:34,STN-CHE-01,Chennai,Crossover,CCS,82,84,116,0.79,Cancelled,None,Available,Refunded,0.00
SES-10011,2025-01-01,00:59:22,STN-DEL-02,Delhi,Sedan,CCS,7,84,91,39.44,Completed,None,Charging,Paid,716.77
SES-10012,2025-01-01,06:54:30,STN-DEL-02,Delhi,Sedan,CHAdeMO,34,36,94,0.80,Failed,Network Error,Maintenance,Failed,0.00
SES-10013,2025-01-01,09:56:54,STN-KOL-01,Kolkata,Sedan,Type 2,22,90,83,39.29,Completed,None,Available,Paid,624.86
SES-10014,2025-01-01,05:55:33,STN-VIJ-01,Vijayawada,Hatchback,CCS,63,64,30,0.40,Failed,Payment Failure,Maintenance,Failed,0.00
SES-10015,2025-01-01,13:12:24,STN-KOL-01,Kolkata,SUV,CCS,74,77,99,1.20,Failed,Charging Interrupted,Maintenance,Failed,0.00
SES-10016,2025-01-02,16:50:11,STN-VSKP-01,Visakhapatnam,Sedan,Type 2,88,100,50,6.28,Completed,None,Charging,Paid,112.02
SES-10017,2025-01-02,19:14:41,STN-MUM-01,Mumbai,Hatchback,Type 2,39,49,12,3.61,Completed,None,Available,Paid,61.35
SES-10018,2025-01-02,09:54:38,STN-PUN-01,Pune,Hatchback,CCS,23,28,10,2.00,Completed,None,Charging,Paid,36.58
SES-10019,2025-01-02,16:31:08,STN-VSKP-01,Visakhapatnam,Hatchback,CCS,30,51,30,8.46,Completed,None,Available,Paid,151.41
